Simulation 1: t, X
1, 0.0, 1.0
1, 0.01, 1.0398505999972503
1, 0.02, 1.0767336573662214
1, 0.03, 1.2023688939064157
1, 0.04, 1.1938305953372377
1, 0.05, 1.1837637395009462
1, 0.06, 1.1603865163171567
1, 0.07, 1.0129930886631475
1, 0.08, 1.0511607993302745
1, 0.09, 1.0639709102039339
1, 0.1, 1.0502762921932531
1, 0.11, 1.0670398681902087
1, 0.12, 1.0790055603033866
1, 0.13, 1.1419556560769264
1, 0.14, 1.1883513507990198
1, 0.15, 1.2389308264517478
1, 0.16, 1.2194167196539798
1, 0.17, 1.1470850886446622
1, 0.18, 1.283342311785587
1, 0.19, 1.30373878173686
1, 0.2, 1.391910000338923
1, 0.21, 1.347552863148914
1, 0.22, 1.314541095553874
1, 0.23, 1.3322512572616432
1, 0.24, 1.3214988363103977
1, 0.25, 1.2562531239411956
1, 0.26, 1.2365839943217973
1, 0.27, 1.2099157613810463
1, 0.28, 1.2671281660112905
1, 0.29, 1.3104169215529866
1, 0.3, 1.316980962386872
1, 0.31, 1.1682415322763584
1, 0.32, 1.174382169025069
1, 0.33, 1.2820519349959458
1, 0.34, 1.1957717631456561
1, 0.35000000000000003, 1.207102050812781
1, 0.36, 1.155699356157596
1, 0.37, 1.1431426988085582
1, 0.38, 1.0977199115385685
1, 0.39, 1.1056130652028164
1, 0.4, 1.1381547542354715
1, 0.41000000000000003, 1.1146174132378044
1, 0.42, 1.1668496712257055
1, 0.43, 1.1155625247398318
1, 0.44, 0.9582454893002585
1, 0.45, 0.9950359843753125
1, 0.46, 1.0424141356537293
1, 0.47000000000000003, 1.0446353838899254
1, 0.48, 1.0240249174636686
1, 0.49, 1.0055145208629284
1, 0.5, 1.0089812131686176
1, 0.51, 1.080939067794499
1, 0.52, 1.0629300981831278
1, 0.53, 1.1228288598503975
1, 0.54, 1.0682968279344123
1, 0.55, 1.1238606477643591
1, 0.56, 1.1017271337671568
1, 0.5700000000000001, 1.0437030484628504
1, 0.58, 1.055162052392382
1, 0.59, 1.0103712490878367
1, 0.6, 0.9280700125670663
1, 0.61, 0.9124925503976127
1, 0.62, 0.8816546868567112
1, 0.63, 0.8742501499406218
1, 0.64, 0.834604189803924
1, 0.65, 0.8223279388135929
1, 0.66, 0.7797950557328769
1, 0.67, 0.8325814145986504
1, 0.68, 0.7705899056617616
1, 0.6900000000000001, 0.8305779036820348
1, 0.7000000000000001, 0.81445027324139
1, 0.71, 0.7280179910124378
1, 0.72, 0.7625929702599367
1, 0.73, 0.7937642986923434
1, 0.74, 0.7739164733709778
1, 0.75, 0.7446217469437282
1, 0.76, 0.7353535206480162
1, 0.77, 0.6767627155082968
1, 0.78, 0.702318013417143
1, 0.79, 0.7221954542030882
1, 0.8, 0.7306849684650703
1, 0.81, 0.6806307807730914
1, 0.8200000000000001, 0.6701693538384952
1, 0.8300000000000001, 0.6972764924267701
1, 0.84, 0.6627394595926199
1, 0.85, 0.6940676698370496
1, 0.86, 0.7606401746055343
1, 0.87, 0.7269367295143372
1, 0.88, 0.7822278810759136
1, 0.89, 0.8585898729511392
1, 0.9, 0.8475933656505986
1, 0.91, 0.88733225766656
1, 0.92, 0.9300208194195841
1, 0.93, 0.9671871432452637
1, 0.9400000000000001, 1.0049815103550586
1, 0.9500000000000001, 0.9504668422621161
1, 0.96, 0.9807861258179631
1, 0.97, 0.9814054915312919
1, 0.98, 1.0136224052746572
1, 0.99, 0.9793138742772309
1, 1.0, 0.9527613804113519

Simulation 2: t, X
2, 0.0, 1.0
2, 0.01, 0.9656222215732425
2, 0.02, 1.056856575894402
2, 0.03, 1.000494897198043
2, 0.04, 1.031382213556558
2, 0.05, 1.0211683747519935
2, 0.06, 1.0613397391454282
2, 0.07, 1.1200161844259229
2, 0.08, 1.0775637213172262
2, 0.09, 1.1511989803320766
2, 0.1, 1.0546642863275706
2, 0.11, 1.0198210915489392
2, 0.12, 1.0357407399480434
2, 0.13, 0.9637445308993211
2, 0.14, 0.9406893397564005
2, 0.15, 0.9260476208286795
2, 0.16, 0.8397970831342235
2, 0.17, 0.8060133971753087
2, 0.18, 0.8186215638854509
2, 0.19, 0.8221639079975712
2, 0.2, 0.8145632483899572
2, 0.21, 0.8157647221160963
2, 0.22, 0.8427164315866195
2, 0.23, 0.7936513377385659
2, 0.24, 0.8193974424282585
2, 0.25, 0.8558236829127915
2, 0.26, 0.8765962427225471
2, 0.27, 0.8224148219040316
2, 0.28, 0.7642032353624804
2, 0.29, 0.7857967107138621
2, 0.3, 0.7725158981094657
2, 0.31, 0.8359007260614528
2, 0.32, 0.8228425813753933
2, 0.33, 0.8564388762991408
2, 0.34, 0.797837809606579
2, 0.35000000000000003, 0.7935161470401626
2, 0.36, 0.7954436841474075
2, 0.37, 0.8299003021898187
2, 0.38, 0.7731507878537408
2, 0.39, 0.7507343947620886
2, 0.4, 0.7369915413683314
2, 0.41000000000000003, 0.6887110996455492
2, 0.42, 0.7859963847244862
2, 0.43, 0.763118517559379
2, 0.44, 0.7271700577102633
2, 0.45, 0.7730788157824473
2, 0.46, 0.7163494697831788
2, 0.47000000000000003, 0.6526747131121149
2, 0.48, 0.5987235605927027
2, 0.49, 0.6463505166404735
2, 0.5, 0.6447449222200022
2, 0.51, 0.5841993827282067
2, 0.52, 0.5967486434265488
2, 0.53, 0.5935808617060132
2, 0.54, 0.6040923085228413
2, 0.55, 0.6200030371751045
2, 0.56, 0.6071786224002947
2, 0.5700000000000001, 0.6050037171316849
2, 0.58, 0.6364824582705669
2, 0.59, 0.6236076945944405
2, 0.6, 0.6218408923550254
2, 0.61, 0.6124482475983962
2, 0.62, 0.6018950949513348
2, 0.63, 0.627151169224195
2, 0.64, 0.6641872551449993
2, 0.65, 0.6759395141434774
2, 0.66, 0.670014611597723
2, 0.67, 0.6350088707270166
2, 0.68, 0.6376815334044243
2, 0.6900000000000001, 0.5887082431388665
2, 0.7000000000000001, 0.5701275289340083
2, 0.71, 0.597958461838343
2, 0.72, 0.6080115807384188
2, 0.73, 0.623514795412379
2, 0.74, 0.6123610570572491
2, 0.75, 0.5434740465717163
2, 0.76, 0.540622069690592
2, 0.77, 0.5724439878936948
2, 0.78, 0.59308475460057
2, 0.79, 0.5823932488428232
2, 0.8, 0.6072488703427621
2, 0.81, 0.6252629194553777
2, 0.8200000000000001, 0.6314814319883286
2, 0.8300000000000001, 0.6180559687219647
2, 0.84, 0.631736736746596
2, 0.85, 0.6570762761327241
2, 0.86, 0.6883732944640197
2, 0.87, 0.7181043686915873
2, 0.88, 0.7363689490152575
